NOMBRE_PRODUCTO,PALABRA,RELACION,FRECUENCIA,MES
"Samsung Galaxy Express, Gray 8GB (AT&T)",COBERTURA,LLAMADA,1,AGOSTO
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,8,AGOSTO
"Samsung Galaxy Express, Gray 8GB (AT&T)",CAJA,GRANDE,1,AGOSTO
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,1,AGOSTO
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,3,SEPTIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,4,SEPTIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,9,SEPTIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,7,SEPTIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,8,OCTUBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,1,OCTUBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",CAJA,GRANDE,4,OCTUBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,7,OCTUBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,9,NOVIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,4,NOVIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,3,NOVIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,9,NOVIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,6,DICIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,3,DICIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,8,DICIEMBRE
"Samsung Galaxy Express, Gray 8GB (AT&T)",CAJA,GRANDE,9,DICIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,1,ENERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,4,ENERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,7,ENERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,9,ENERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,4,FEBRERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,3,FEBRERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,9,FEBRERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,6,FEBRERO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",VOLUMEN ,BAJO,3,MARZO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,8,MARZO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,9,MARZO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,8,MARZO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,7,ABRIL
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,6,ABRIL
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,5,ABRIL
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,4,ABRIL
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,3,MAYO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,2,MAYO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,9,MAYO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,9,MAYO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,7,JUNIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,8,JUNIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,1,JUNIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,4,JUNIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,7,JULIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,9,JULIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,4,JULIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",VOLUMEN ,BAJO,3,JULIO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,9,AGOSTO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,3,AGOSTO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,2,AGOSTO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",VOLUMEN ,BAJO,9,AGOSTO
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,9,SEPTIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,7,SEPTIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,1,SEPTIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,4,SEPTIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",SEGURIDAD,BUENA,7,OCTUBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,9,OCTUBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,4,OCTUBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,BRILLO,3,OCTUBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,9,NOVIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,BRILLO,9,NOVIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",AUDIO,PARLANTE,8,NOVIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",COBERTURA,LLAMADA,7,NOVIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,5,DICIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",CAJA,GRANDE,4,DICIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",BATERIA,BAJA,3,DICIEMBRE
"Samsung Galaxy S4, Black Mist 16GB (Sprint)",PANTALLA,PEQUEÑA,9,DICIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,BRILLO,6,ENERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,9,ENERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,COBERTURA,LLAMADA,4,ENERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,VOLUMEN ,BAJO,8,ENERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,2,FEBRERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,7,FEBRERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,4,FEBRERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,SEGURIDAD,BUENA,6,FEBRERO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,BRILLO,3,MARZO
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,4,MARZO
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,6,MARZO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,7,MARZO
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,8,ABRIL
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,9,ABRIL
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,4,ABRIL
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,6,ABRIL
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,8,MAYO
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,6,MAYO
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,5,MAYO
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,3,MAYO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,2,JUNIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,1,JUNIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,5,JUNIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,VOLUMEN ,BAJO,4,JUNIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,6,JULIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,8,JULIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,3,JULIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,4,JULIO
Samsung Galaxy S7 32GB G930V Unlocked - Black,VOLUMEN ,BAJO,5,AGOSTO
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,6,AGOSTO
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,8,AGOSTO
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,6,AGOSTO
Samsung Galaxy S7 32GB G930V Unlocked - Black,SEGURIDAD,BUENA,5,SEPTIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,BRILLO,3,SEPTIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,5,SEPTIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,8,SEPTIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,9,OCTUBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,7,OCTUBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,6,OCTUBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,4,OCTUBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,1,NOVIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,CAJA,GRANDE,2,NOVIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,4,NOVIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,7,NOVIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,1,DICIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,PANTALLA,PEQUEÑA,5,DICIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,AUDIO,PARLANTE,8,DICIEMBRE
Samsung Galaxy S7 32GB G930V Unlocked - Black,BATERIA,BAJA,5,DICIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",SEGURIDAD,BUENA,1,ENERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",COBERTURA,LLAMADA,4,ENERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,7,ENERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,9,ENERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",COBERTURA,LLAMADA,4,FEBRERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,3,FEBRERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,9,FEBRERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,6,FEBRERO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,3,MARZO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",SEGURIDAD,BUENA,8,MARZO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,MARZO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,8,MARZO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,BRILLO,7,ABRIL
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,6,ABRIL
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,BRILLO,5,ABRIL
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,4,ABRIL
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",COBERTURA,LLAMADA,3,MAYO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,2,MAYO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,9,MAYO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,9,MAYO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,7,JUNIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,8,JUNIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,1,JUNIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,4,JUNIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,7,JULIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,9,JULIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,4,JULIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,3,JULIO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,9,AGOSTO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,3,AGOSTO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,2,AGOSTO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,9,AGOSTO
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,9,SEPTIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,7,SEPTIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,1,SEPTIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,4,SEPTIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,7,OCTUBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,OCTUBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,4,OCTUBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,3,OCTUBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,9,NOVIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,NOVIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,8,NOVIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,7,NOVIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,5,DICIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,4,DICIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,3,DICIEMBRE
"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,9,DICIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,1,ENERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,4,ENERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,7,ENERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,ENERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,4,FEBRERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,3,FEBRERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,FEBRERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,6,FEBRERO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,3,MARZO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,8,MARZO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,9,MARZO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,8,MARZO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,7,ABRIL
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,6,ABRIL
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,5,ABRIL
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,4,ABRIL
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,3,MAYO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,2,MAYO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,9,MAYO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,9,MAYO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,7,JUNIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,8,JUNIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,1,JUNIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,4,JUNIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",SEGURIDAD,BUENA,7,JULIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,JULIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,4,JULIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,BRILLO,3,JULIO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,9,AGOSTO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,BRILLO,3,AGOSTO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,2,AGOSTO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",COBERTURA,LLAMADA,9,AGOSTO
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,9,SEPTIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,7,SEPTIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,1,SEPTIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,4,SEPTIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,BRILLO,7,OCTUBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,9,OCTUBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",COBERTURA,LLAMADA,4,OCTUBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",VOLUMEN ,BAJO,3,OCTUBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",CAJA,GRANDE,9,NOVIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,9,NOVIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,8,NOVIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",SEGURIDAD,BUENA,7,NOVIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,BRILLO,5,DICIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",AUDIO,PARLANTE,4,DICIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",BATERIA,BAJA,3,DICIEMBRE
"Apple iPhone 6S Plus, 16GB, Silver - For AT&T / T-Mobile (Renewed)",PANTALLA,PEQUEÑA,9,DICIEMBRE
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",BATERIA,BAJA,9,ENERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",PANTALLA,PEQUEÑA,8,ENERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",PANTALLA,PEQUEÑA,6,ENERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",AUDIO,PARLANTE,9,ENERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",BATERIA,BAJA,4,FEBRERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",PANTALLA,PEQUEÑA,5,FEBRERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",PANTALLA,PEQUEÑA,7,FEBRERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",AUDIO,PARLANTE,9,FEBRERO
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",VOLUMEN ,BAJO,8,MARZO
